Epoch,TrainIZY,TrainIZX,TrainAcc,TrainAvgAcc,TestIZY,TestIZX,TestAcc,TestAvgAcc
1,0.058793962,5.1213064,0.86582905,0.8660534,0.059524238,5.1050305,0.864574,0.864574
2,0.07880098,2.4544902,0.86627775,0.8665021,0.07818854,2.4071822,0.86098653,0.8627803
3,0.059660614,0.24742007,0.71595246,0.85775185,0.059326887,0.22266719,0.7103139,0.85919285
4,0.06603122,0.20860326,0.71572804,0.8590981,0.06415212,0.18696533,0.70224214,0.8538117
5,0.07812631,0.20028478,0.7325555,0.8617904,0.07336128,0.17993455,0.72286993,0.86008966
6,0.08373129,0.1959101,0.7336774,0.8653803,0.07688671,0.17710647,0.7309417,0.85919285
7,0.09573966,0.19160056,0.7579089,0.86627775,0.101393044,0.17421675,0.76591927,0.86098653
8,0.10500902,0.18789943,0.76149875,0.8667265,0.10650694,0.17168783,0.75067264,0.8618834
9,0.11738002,0.18675643,0.772044,0.8660534,0.1185174,0.17151454,0.77399105,0.86367714
10,0.13042563,0.18443146,0.7895445,0.8660534,0.13240778,0.17049061,0.7838565,0.8627803
