epoch,train accuracy,train std,test accuracy,test std
1,0.8450824,0.025401441,0.8318801,0.024000524
2,0.946275,0.009240381,0.9219276,0.007723463
3,0.970231,0.0071342844,0.93710864,0.006988699
4,0.9823989,0.0055586034,0.94155806,0.0052998317
5,0.9910902,0.0046603037,0.9434657,0.0048316
6,0.99580675,0.0028712684,0.9436454,0.0051098233
7,0.99790955,0.0017881227,0.943191,0.0059401016
8,0.9989986,0.0012496233,0.943256,0.0046234247
9,0.99949425,0.000771727,0.9427066,0.003988825
10,0.99970275,0.00052440626,0.94245195,0.004215878
11,0.9997627,0.0007998844,0.9422422,0.004615494
12,0.9999163,0.00011886812,0.9429013,0.004392644
13,0.99991876,0.00013463963,0.9430961,0.004624084
14,0.9999363,6.052317e-05,0.94305116,0.004611015
15,0.9999438,5.1865925e-05,0.9427765,0.004791586
16,0.99994123,5.2105384e-05,0.9429164,0.0046615866
17,0.99993753,5.2979998e-05,0.94270164,0.0046243486
18,0.9999387,5.3696524e-05,0.9425967,0.00472913
19,0.99993753,5.9887625e-05,0.94243693,0.004570917
20,0.99994123,5.2103784e-05,0.9424919,0.004351007
21,0.99993753,5.722602e-05,0.94250685,0.0042791637
22,0.99994004,5.2920088e-05,0.94260675,0.0045181867
23,0.9999425,5.124405e-05,0.9424269,0.004462667
24,0.9999387,5.512933e-05,0.94248194,0.0043021087
25,0.99994123,5.2103787e-05,0.9425269,0.0042006033
