Epoch,TrainIZY,TrainIZX,TrainAcc,TrainAvgAcc,TestIZY,TestIZX,TestAcc,TestAvgAcc
1,-0.6660664,0.047078256,0.49906343,0.506993,-0.66358125,0.04595725,0.5038702,0.5106117
2,-0.6288594,0.034844108,0.5043706,0.5032467,-0.6261407,0.034841236,0.50187266,0.5066167
3,-0.5649377,0.026556905,0.5061813,0.50555694,-0.58063626,0.027468575,0.4988764,0.5106117
4,-0.5391525,0.020470954,0.5061189,0.5020604,-0.5867739,0.02195719,0.506367,0.50212234
5,-0.5205308,0.016522542,0.4998127,0.5048701,-0.5168997,0.018371409,0.49013734,0.48564294
6,-0.4796852,0.013748708,0.5028721,0.5001249,-0.44831753,0.015846165,0.52434456,0.5078652
7,-0.4582281,0.011621785,0.49912587,0.5061189,-0.45612717,0.013912035,0.49413234,0.5158552
8,-0.41311002,0.00993966,0.5021853,0.49756494,-0.42257428,0.012274057,0.4948814,0.49987516
9,-0.3979323,0.008543232,0.49637863,0.499001,-0.3832301,0.010896263,0.49563047,0.50187266
10,-0.35726166,0.0076189437,0.4988137,0.5032467,-0.37979198,0.010058866,0.4866417,0.50187266
11,-0.3290217,0.007117042,0.50018734,0.5016234,-0.30373287,0.0096260505,0.50187266,0.5161049
12,-0.30212724,0.0061725103,0.499001,0.50874126,-0.27246487,0.008673696,0.5088639,0.51011235
13,-0.27140403,0.0055536157,0.5013112,0.50137365,-0.26822066,0.008090658,0.5008739,0.52084893
14,-0.2569461,0.00503078,0.49494255,0.4971903,-0.2394613,0.007610121,0.4988764,0.517603
15,-0.23742723,0.0044471095,0.50024974,0.5003746,-0.23529923,0.007036222,0.50337076,0.51011235
