Epoch,TrainIZY,TrainIZX,TrainAcc,TrainAvgAcc,TestIZY,TestIZX,TestAcc,TestAvgAcc
1,-0.057916403,0.13578336,0.5008741,0.5184191,-0.051668644,0.1399464,0.50362045,0.5240949
2,-0.045624852,0.10763561,0.5119256,0.528534,-0.04774964,0.110774115,0.50736576,0.5106117
3,-0.04514599,0.07729955,0.5119256,0.5310939,-0.041556,0.07958562,0.50611734,0.52958804
4,-0.0317384,0.061820798,0.5166084,0.54252,-0.04199958,0.06456883,0.50861424,0.54581773
5,-0.0315392,0.040870532,0.5196678,0.5408342,-0.034840822,0.04300377,0.5053683,0.5330836
6,-0.023308754,0.06714932,0.51623374,0.5432068,-0.026446342,0.06955523,0.51235956,0.52459425
7,-0.01848793,0.061031085,0.5113636,0.5423951,-0.019613028,0.06323823,0.5113608,0.53882647
8,-0.015103817,0.05087942,0.51323676,0.5392732,-0.012539029,0.05309629,0.5153558,0.5485643
9,-0.009131193,0.03560753,0.51998,0.54314435,-0.010012269,0.037272025,0.5171036,0.54157305
10,-0.0060378313,0.04243444,0.52022976,0.539523,-0.006949544,0.044457525,0.5131086,0.54531837
